Demand ID,Project ID,Short Description,Portfolio,State,Priority,Planned Cost ($),Actual Cost ($),Business Value,Risk Score,Start Date,End Date
DMN5033,PRJ1033,Implementation of Security Layer Phase 1,Customer Experience,Draft,2 - High,446782,45335,Compliance,1,2024-04-07,2024-06-21
DMN5034,PRJ1034,Implementation of Mobile Portal Phase 2,Customer Experience,Completed,4 - Low,266998,96586,Strategic,5,2024-04-10,2024-08-22
DMN5035,PRJ1035,Implementation of Mobile Portal Phase 2,Cloud Migration,Submitted,2 - High,90130,167678,Compliance,9,2024-04-11,2024-06-02
DMN5036,PRJ1036,Implementation of ERP Sync Phase 2,HR Excellence,Qualified,2 - High,181425,283339,Compliance,10,2024-04-12,2024-06-18
DMN5037,PRJ1037,Implementation of ERP Sync Phase 2,Customer Experience,Screening,4 - Low,196558,254388,Operational,8,2024-04-17,2024-08-17
DMN5038,PRJ1038,Implementation of AI Chatbot Phase 2,HR Excellence,Submitted,4 - Low,237686,203173,Compliance,10,2024-04-18,2024-09-22
DMN5039,PRJ1039,Implementation of Mobile Portal Phase 2,Customer Experience,Screening,2 - High,256009,80817,Strategic,9,2024-04-20,2024-10-04
DMN5040,PRJ1040,Implementation of Security Layer Phase 3,Digital Transformation,Qualified,2 - High,129447,295531,Compliance,7,2024-04-23,2024-06-19
DMN5041,PRJ1041,Implementation of Mobile Portal Phase 2,Customer Experience,Approved,1 - Critical,454297,402213,Operational,1,2024-04-26,2024-09-22
DMN5042,PRJ1042,Implementation of ERP Sync Phase 1,HR Excellence,Draft,3 - Moderate,153200,188180,Operational,1,2024-04-27,2024-10-13
DMN5043,PRJ1043,Implementation of Mobile Portal Phase 3,Customer Experience,Submitted,1 - Critical,265500,289266,Strategic,7,2024-05-02,2024-09-09
DMN5044,PRJ1044,Implementation of Security Layer Phase 1,Cloud Migration,Draft,2 - High,95873,424655,Compliance,9,2024-05-05,2024-09-17
DMN5045,PRJ1045,Implementation of Mobile Portal Phase 3,Digital Transformation,Submitted,1 - Critical,383872,304351,Compliance,1,2024-05-06,2024-07-12
DMN5046,PRJ1046,Implementation of Mobile Portal Phase 1,HR Excellence,Screening,1 - Critical,326072,352204,Operational,2,2024-05-11,2024-07-19
DMN5047,PRJ1047,Implementation of AI Chatbot Phase 1,Customer Experience,Submitted,3 - Moderate,266955,410947,Strategic,1,2024-05-13,2024-06-15
DMN5048,PRJ1048,Implementation of AI Chatbot Phase 1,Digital Transformation,Draft,4 - Low,114124,262186,Operational,5,2024-05-18,2024-06-23
DMN5049,PRJ1049,Implementation of ERP Sync Phase 3,Digital Transformation,Approved,3 - Moderate,277336,99361,Operational,8,2024-05-21,2024-09-24
